"","ClusterID","TID","X","Y","V","Movie","Type","ID","StepX","StepY","State"
"2","1","1",94.524,165.203,1.626,"20180206","invader","20180206-1-1-invader",1.017,6.32599999999999,"2"
"3","1","1",95.902,169.725,1.2,"20180206","invader","20180206-1-1-invader",1.378,4.52199999999999,"2"
"4","1","1",97.643,172.079,0.743,"20180206","invader","20180206-1-1-invader",1.741,2.35400000000001,"2"
"5","1","1",97.953,172.624,0.159,"20180206","invader","20180206-1-1-invader",0.310000000000002,0.544999999999987,"2"
"7","1","1",97.583,176.365,0.976,"20180206","invader","20180206-1-1-invader",0.548000000000002,3.80800000000002,"2"
"8","1","1",96.231,180.604,1.129,"20180206","invader","20180206-1-1-invader",1.352,4.239,"2"
"9","1","1",87.203,189.252,3.173,"20180206","invader","20180206-1-1-invader",9.02799999999999,8.648,"2"
"10","1","1",83.862,188.951,0.851,"20180206","invader","20180206-1-1-invader",3.34100000000001,0.301000000000016,"2"
"11","1","1",80.651,184.281,1.438,"20180206","invader","20180206-1-1-invader",3.211,4.66999999999999,"2"
"12","1","1",85.946,182.69,1.403,"20180206","invader","20180206-1-1-invader",5.295,1.59100000000001,"2"
"13","1","1",88.536,186.716,1.215,"20180206","invader","20180206-1-1-invader",2.59,4.02600000000001,"2"
"14","1","1",87.11,190.375,0.997,"20180206","invader","20180206-1-1-invader",1.426,3.65899999999999,"2"
"15","1","1",85.099,190.656,0.515,"20180206","invader","20180206-1-1-invader",2.011,0.281000000000006,"2"
"16","1","1",86.898,182.117,2.215,"20180206","invader","20180206-1-1-invader",1.79899999999999,8.53900000000002,"2"
"17","1","1",89.029,179.854,0.789,"20180206","invader","20180206-1-1-invader",2.131,2.26299999999998,"2"
"20","1","1",93.439,183.185,1.37,"20180206","invader","20180206-1-1-invader",4.505,2.97200000000001,"1"
"21","1","1",94.797,183.375,0.348,"20180206","invader","20180206-1-1-invader",1.358,0.189999999999998,"1"
"22","1","1",95.942,185.327,0.574,"20180206","invader","20180206-1-1-invader",1.145,1.952,"1"
"23","1","1",92.587,185.456,0.852,"20180206","invader","20180206-1-1-invader",3.35499999999999,0.128999999999991,"1"
"24","1","1",93.083,183.646,0.476,"20180206","invader","20180206-1-1-invader",0.495999999999995,1.81,"1"
"25","1","1",94.912,182.024,0.621,"20180206","invader","20180206-1-1-invader",1.82900000000001,1.62199999999999,"1"
"26","1","1",96.606,180.236,0.625,"20180206","invader","20180206-1-1-invader",1.69399999999999,1.78800000000001,"1"
"27","1","1",98.291,177.082,0.908,"20180206","invader","20180206-1-1-invader",1.685,3.154,"1"
"28","1","1",98.892,175.258,0.487,"20180206","invader","20180206-1-1-invader",0.600999999999999,1.82399999999998,"1"
"33","1","1",99.944,177.662,0.604,"20180206","invader","20180206-1-1-invader",0.953000000000003,2.18000000000001,"1"
"34","1","1",100.881,179.163,0.449,"20180206","invader","20180206-1-1-invader",0.936999999999998,1.501,"1"
"35","1","1",102.445,181.087,0.629,"20180206","invader","20180206-1-1-invader",1.56399999999999,1.92399999999998,"1"
"36","1","1",103.976,181.603,0.41,"20180206","invader","20180206-1-1-invader",1.53100000000001,0.51600000000002,"1"
"37","1","1",105.207,180.909,0.359,"20180206","invader","20180206-1-1-invader",1.23099999999999,0.694000000000017,"1"
"38","1","1",105.668,180.289,0.196,"20180206","invader","20180206-1-1-invader",0.461000000000013,0.620000000000005,"1"
"39","1","1",106.008,179.734,0.165,"20180206","invader","20180206-1-1-invader",0.339999999999989,0.554999999999978,"1"
"41","1","1",106.334,178.843,0.173,"20180206","invader","20180206-1-1-invader",0.212000000000003,0.64700000000002,"1"
"43","1","1",107.184,177.981,0.217,"20180206","invader","20180206-1-1-invader",0.683999999999997,0.510000000000019,"1"
"44","1","1",109.16,175.872,0.734,"20180206","invader","20180206-1-1-invader",1.976,2.10899999999998,"1"
"45","1","1",111.783,174.523,0.749,"20180206","invader","20180206-1-1-invader",2.623,1.34900000000002,"1"
"46","1","1",112.935,174.288,0.298,"20180206","invader","20180206-1-1-invader",1.152,0.234999999999985,"1"
"48","1","1",113.179,174.293,0.133,"20180206","invader","20180206-1-1-invader",0.522999999999996,0.0220000000000198,"1"
"49","1","1",114.968,174.36,0.454,"20180206","invader","20180206-1-1-invader",1.789,0.0670000000000073,"1"
"50","1","1",116.039,174.531,0.275,"20180206","invader","20180206-1-1-invader",1.071,0.170999999999992,"1"
"51","1","1",118.019,177.491,0.904,"20180206","invader","20180206-1-1-invader",1.98,2.96000000000001,"1"
"52","1","1",117.272,175.725,0.487,"20180206","invader","20180206-1-1-invader",0.747,1.76600000000002,"1"
"53","1","1",117.857,177.397,0.45,"20180206","invader","20180206-1-1-invader",0.584999999999994,1.672,"1"
"54","1","1",117.589,177.94,0.154,"20180206","invader","20180206-1-1-invader",0.268000000000001,0.543000000000006,"1"
"56","1","1",116.808,178.812,0.321,"20180206","invader","20180206-1-1-invader",0.530999999999992,1.149,"1"
"57","1","1",115.414,179.514,0.396,"20180206","invader","20180206-1-1-invader",1.39400000000001,0.701999999999998,"1"
"58","1","1",114.707,179.833,0.197,"20180206","invader","20180206-1-1-invader",0.707000000000008,0.318999999999988,"1"
"74","1","1",113.94,180.174,0.179,"20180206","invader","20180206-1-1-invader",0.707000000000008,0.0029999999999859,"1"
"75","1","1",110.315,180.005,0.921,"20180206","invader","20180206-1-1-invader",3.625,0.169000000000011,"1"
"76","1","1",108.374,179.452,0.512,"20180206","invader","20180206-1-1-invader",1.941,0.552999999999997,"1"
"79","1","2",126.696,163.491,0.38,"20180206","invader","20180206-1-2-invader",1.47199999999999,0.267000000000024,"2"
"80","1","2",127.756,163.869,0.286,"20180206","invader","20180206-1-2-invader",1.06,0.377999999999986,"2"
"81","1","2",125.243,169.58,1.584,"20180206","invader","20180206-1-2-invader",2.51300000000001,5.71100000000001,"2"
"82","1","2",122.999,170.072,0.583,"20180206","invader","20180206-1-2-invader",2.244,0.49199999999999,"2"
"83","1","2",122.174,171.322,0.38,"20180206","invader","20180206-1-2-invader",0.824999999999989,1.25,"2"
"84","1","2",124.167,161.416,2.564,"20180206","invader","20180206-1-2-invader",1.99299999999999,9.90600000000001,"2"
"85","1","2",127.667,160.33,0.93,"20180206","invader","20180206-1-2-invader",3.5,1.08599999999998,"2"
"86","1","2",136.16,160.639,2.157,"20180206","invader","20180206-1-2-invader",8.49299999999999,0.308999999999997,"2"
"87","1","2",135.75,164.363,0.951,"20180206","invader","20180206-1-2-invader",0.409999999999997,3.72399999999999,"2"
"88","1","2",129.337,164.891,1.633,"20180206","invader","20180206-1-2-invader",6.41300000000001,0.527999999999992,"2"
"89","1","2",122.307,163.243,1.833,"20180206","invader","20180206-1-2-invader",7.02999999999999,1.648,"2"
"90","1","2",120.245,163.341,0.524,"20180206","invader","20180206-1-2-invader",2.062,0.0980000000000132,"2"
"91","1","2",112.414,163.206,1.988,"20180206","invader","20180206-1-2-invader",7.831,0.135000000000019,"1"
"92","1","2",111.732,163.041,0.178,"20180206","invader","20180206-1-2-invader",0.682000000000002,0.164999999999992,"1"
"93","1","2",110.888,162.959,0.215,"20180206","invader","20180206-1-2-invader",0.843999999999994,0.0819999999999936,"1"
"94","1","2",108.771,163.977,0.596,"20180206","invader","20180206-1-2-invader",2.117,1.018,"2"
"95","1","2",105.669,172.89,2.395,"20180206","invader","20180206-1-2-invader",3.102,8.91299999999998,"2"
"96","1","2",111.668,175.845,1.697,"20180206","invader","20180206-1-2-invader",5.99900000000001,2.95500000000001,"2"
"97","1","2",120.041,175.335,2.129,"20180206","invader","20180206-1-2-invader",8.37299999999999,0.509999999999991,"2"
"98","1","2",122.299,175.233,0.574,"20180206","invader","20180206-1-2-invader",2.25800000000001,0.102000000000004,"2"
"99","1","2",126.663,173.218,1.22,"20180206","invader","20180206-1-2-invader",4.36399999999999,2.01500000000001,"2"
"100","1","2",130.208,174.298,0.941,"20180206","invader","20180206-1-2-invader",3.545,1.08000000000001,"2"
"101","1","2",124.725,183.462,2.711,"20180206","invader","20180206-1-2-invader",5.483,9.16399999999999,"2"
"102","1","2",115.665,183.922,2.302,"20180206","invader","20180206-1-2-invader",9.05999999999999,0.460000000000008,"2"
"103","1","2",114.435,182.077,0.563,"20180206","invader","20180206-1-2-invader",1.23,1.845,"2"
