"","ClusterID","TID","X","Y","V","Movie","Type","ID","StepX","StepY","State"
"1","4","1",48.164,208.002,0.762,"20180206","non-invader","20180206-4-1-non-invader",NA,NA,"2"
"2","4","1",41.437,208.281,1.709,"20180206","non-invader","20180206-4-1-non-invader",6.727,0.278999999999996,"2"
"3","4","1",42.064,207.435,0.267,"20180206","non-invader","20180206-4-1-non-invader",0.627000000000002,0.846000000000004,"2"
"4","4","1",46.232,205.389,1.178,"20180206","non-invader","20180206-4-1-non-invader",4.168,2.04599999999999,"2"
"5","4","1",51.333,201.778,1.586,"20180206","non-invader","20180206-4-1-non-invader",5.101,3.61100000000002,"2"
"6","4","1",55.674,197.894,1.479,"20180206","non-invader","20180206-4-1-non-invader",4.341,3.88399999999999,"2"
"7","4","1",53.335,193.626,1.235,"20180206","non-invader","20180206-4-1-non-invader",2.339,4.268,"2"
"8","4","1",50.731,193.173,0.671,"20180206","non-invader","20180206-4-1-non-invader",2.604,0.453000000000003,"2"
"9","4","1",51.348,195.187,0.535,"20180206","non-invader","20180206-4-1-non-invader",0.616999999999997,2.01400000000001,"2"
"10","4","1",57.885,191.323,1.927,"20180206","non-invader","20180206-4-1-non-invader",6.537,3.864,"2"
"11","4","1",59.744,185.142,1.638,"20180206","non-invader","20180206-4-1-non-invader",1.859,6.18100000000001,"2"
"12","4","1",58.553,188.601,0.928,"20180206","non-invader","20180206-4-1-non-invader",1.191,3.459,"2"
"13","4","1",61.538,194.511,1.681,"20180206","non-invader","20180206-4-1-non-invader",2.985,5.91,"2"
"14","4","1",65.545,200.217,1.77,"20180206","non-invader","20180206-4-1-non-invader",4.00700000000001,5.70600000000002,"2"
"15","4","1",63.729,213.557,3.417,"20180206","non-invader","20180206-4-1-non-invader",1.816,13.34,"2"
"16","4","1",62.077,216.987,0.966,"20180206","non-invader","20180206-4-1-non-invader",1.652,3.43000000000001,"2"
"17","4","1",57.851,225.512,2.415,"20180206","non-invader","20180206-4-1-non-invader",4.226,8.52500000000001,"2"
"19","4","1",41.351,232.165,2.458,"20180206","non-invader","20180206-4-1-non-invader",9.644,0.893000000000001,"2"
"20","4","1",34.553,225.093,2.49,"20180206","non-invader","20180206-4-1-non-invader",6.798,7.072,"2"
