x,y
171.699,91.549
176.758,90.476
176.801,88.007
174.335,81.039
180.419,77.533
186.156,88.423
181.094,90.382
175.093,90.29
169.349,90.279
167.881,85.525
162.808,87.76
159.701,90.156
160.751,90.362
163.288,89.824
163.8,90.31
166.874,88.798
167.584,89.247
167.541,89.635
168.303,87.167
167.965,85.734
170.209,88.611
165.539,88.529
168.336,79.25
168.233,79.122
163.195,81.159
162.102,92.794
161.989,94.843
165.153,92.386
164.536,91.801
165.368,90.916
165.937,90.772
170.015,90.54
172.948,89.762
170.381,88.727
167.99,91.486
166.683,91.413
166.247,91.432
165.856,91.013
165.817,90.588
165.922,90.049
167.125,88.229
172.75,86.021
171.28,89.931
170.909,88.359
168.394,85.061
168.456,85.684
167.787,85.457
167.257,86.332
167.416,86.075
167.232,86.136
168.048,82.542
167.006,79.893
