x,y
116.265,124.975
119.3,126.758
114.708,127.027
119.688,129.343
114.563,123.556
124.438,127.727
118.692,133.382
117.616,130.875
118.009,130.891
118.172,132.476
107.393,134.932
104.438,123.186
108.987,118.078
110.055,129.587
108.842,132.356
108.475,130.502
101.202,131.715
99.742,143.682
105.363,153.814
107.491,149.492
103.491,145.359
102.449,144.469
101.682,149.855
107.955,158.817
114.796,153.393
114.409,152.171
112.178,150.879
107.916,153.224
106.768,153.231
105.928,153.062
106.277,152.505
108.38,151.067
110.128,149.785
111.773,148.601
111.977,148.216
111.939,148.143
111.933,148.134
111.995,148.082
111.966,148.084
111.997,148.088
111.903,148.117
112.05,147.941
112.021,147.794
112.058,147.723
111.953,147.746
111.83,147.829
111.643,147.84
111.577,147.89
111.445,147.96
111.246,148.052
111.096,148.245
111.263,148.096
111.064,148.323
110.928,148.348
110.874,148.37
110.496,148.636
110.496,148.512
110.475,148.652
110.23,148.755
110.111,148.869
109.936,148.953
110.115,148.8
109.855,149.012
109.888,148.858
109.815,148.996
109.851,148.936
109.651,149.097
109.883,149.931
109.49,149.508
109.255,149.54
110.294,150.314
109.461,149.666
109.247,149.483
108.958,149.656
108.973,149.734
108.993,149.669
108.947,149.726
108.916,149.77
108.967,149.745
108.777,149.881
108.646,149.869
108.834,149.899
108.611,149.914
108.645,149.873
108.269,150.319
108.491,150.263
108.443,150.357
107.833,150.822
108.058,150.704
107.862,150.857
107.704,151.067
107.386,151.328
107.468,151.47
107.052,151.993
106.906,152.205
107.173,152.004
106.096,153.319
106.033,153.4
106.207,153.776
110.287,152.698
111.213,149.304
111.229,148.816
111.18,148.585
110.91,148.068
110.68,147.601
110.087,147.029
107.535,145.809
105.457,148.906
104.582,149.933
104.546,149.954
102.978,144.556
106.349,146.745
107.424,156.321
107.542,162.051
107.003,163.363
107.292,163.865
106.547,164.171
105.988,166.053
107.524,169.496
105.883,169.495
105.894,169.48
105.97,169.962
106.313,172.019
105.065,174.294
