x,y
217.553,51.356
223.867,43.403
225.541,49.049
225.078,51.384
223.801,42.268
230.455,42.845
224.466,53.778
215.874,51.431
219.865,44.169
225.458,38.883
229.969,43.403
221.179,50.142
221.765,52.927
229.898,51.783
231.536,47.105
230.204,43.197
221.645,42.919
224.893,40.897
227.198,38.485
227.5,42.332
217.935,43.783
211.161,36.216
220.044,29.575
220.595,30.707
220.45,34.192
219.318,38.827
213.191,37.922
213.872,35.016
222.985,38.243
220.262,43.196
217.457,51.347
218.635,52.345
219.524,49.803
213.092,53.568
222.204,55.704
224.381,46.475
213.403,43.984
209.137,44.469
209.029,44.626
213.612,46.675
215.627,48.069
214.003,47.017
207.839,44.734
207.755,45.068
207.666,45.532
207.679,46.899
207.773,47.61
207.724,47.965
207.765,48.349
207.754,48.615
207.578,48.626
207.744,49.06
207.712,49.315
207.681,49.358
207.673,49.733
207.669,49.647
207.573,50.686
207.487,51.404
207.301,51.996
207.113,52.85
210.176,50.802
210.578,50.536
213.107,48.65
214.662,54.353
210.893,59.176
208.806,54.904
217.185,56.188
215.414,64.329
210.123,75.602
206.642,78.412
204.018,77.365
202.734,72.424
209.639,70.044
209.341,81.0
207.551,88.483
199.628,86.919
206.385,83.387
212.808,86.372
212.465,87.741
210.978,87.582
208.895,87.037
208.179,86.994
207.763,87.08
207.455,87.069
207.136,86.998
206.899,86.999
206.663,86.989
206.567,86.939
206.406,86.895
206.226,86.945
213.506,85.742
211.442,81.41
210.087,77.582
203.624,77.33
202.712,75.088
205.171,72.092
206.895,72.659
208.674,72.443
208.242,69.208
