x,y
259.971,35.053
254.398,37.03
244.89,39.549
236.188,45.555
232.433,50.943
229.745,59.95
228.641,65.149
228.387,67.807
224.153,70.347
220.634,71.585
216.136,72.418
214.766,74.297
214.726,74.34
214.691,74.412
214.623,74.559
214.607,74.554
214.574,74.421
214.576,74.938
212.565,81.035
208.604,82.371
206.607,81.161
206.722,75.295
209.163,74.909
211.004,76.783
217.358,78.281
220.196,68.062
221.57,63.996
229.891,66.018
236.379,56.612
237.448,52.904
238.557,49.792
239.92,47.362
239.931,46.91
239.894,46.717
239.493,47.329
239.036,46.834
238.718,46.348
238.698,46.294
238.523,46.06
238.4,46.071
238.441,45.85
238.248,45.853
238.273,45.734
238.38,45.654
237.735,46.299
237.703,46.765
237.408,46.498
237.808,46.844
239.111,47.873
242.941,49.29
243.533,49.132
247.134,49.713
239.772,46.81
233.649,46.145
233.466,49.401
235.606,51.081
