t,MSD
4.0,28.138917020202037
8.0,63.99685422448982
12.0,87.7550962164949
16.0,123.01208658333336
20.0,160.3192815894737
24.0,185.38915225531917
28.0,206.15062904301078
32.0,221.62755664130438
36.0,227.513208956044
40.0,235.33494991111118
44.0,241.38435253932587
48.0,242.3566955340909
52.0,243.18466450574707
56.0,250.49151561627906
60.0,260.23214768235295
64.0,274.94536238095236
68.0,291.01290419277103
72.0,307.366524
76.0,330.2923938765432
80.0,349.9386167625
84.0,371.7552579746835
88.0,395.40264321794865
92.0,417.44455822077936
96.0,440.7427396184212
100.0,464.0398605866665
104.0,483.63409313513506
108.0,499.3658113972603
112.0,516.4182158194443
116.0,531.6576006901408
120.0,548.1406431428572
124.0,582.6533974057973
128.0,630.3804187499999
132.0,672.4192800746268
136.0,712.7300086515152
140.0,761.8820491846153
144.0,807.1367689531252
148.0,836.3951636190473
152.0,855.2437471935483
156.0,875.9986649508195
160.0,888.3594994666665
164.0,897.9645951186438
168.0,917.3887718965516
172.0,944.933312
176.0,969.1247964821425
180.0,993.7822482363636
184.0,1031.091101
188.0,1075.5188957924527
192.0,1125.9327067115382
196.0,1171.167843509804
200.0,1204.14805778
