t,MSD
4.0,38.778591170454554
8.0,111.74029716091957
12.0,193.15741630232557
16.0,292.76544767058823
20.0,413.16813208333326
24.0,549.1056625542169
28.0,692.2218733292682
32.0,844.9107347283949
36.0,1008.3317826
40.0,1171.60626678481
44.0,1332.128689602564
48.0,1489.6804379610392
52.0,1652.9846707894737
56.0,1815.2895832800004
60.0,1970.5759276891886
64.0,2132.5224287123287
68.0,2290.020377833333
72.0,2439.636306267606
76.0,2594.9089380142855
80.0,2758.3442184927535
84.0,2921.919358705882
88.0,3088.218090985075
92.0,3265.1674969545456
96.0,3446.600927215386
100.0,3625.4276661718754
104.0,3823.5331382222216
108.0,4038.198435645161
112.0,4242.862366295082
116.0,4457.416298733335
120.0,4692.1783736440675
124.0,4946.018210879311
128.0,5204.7189216666675
132.0,5453.182680428571
136.0,5712.124244327273
140.0,5993.723492185185
144.0,6228.206282943397
148.0,6408.723921423078
152.0,6565.467179588236
156.0,6745.76946844
160.0,6935.137770102041
164.0,7130.615574124998
168.0,7321.99082080851
172.0,7553.6775065434795
176.0,7843.728182022224
