x,y
111.835,186.33
113.17,186.049
113.714,186.173
114.014,186.303
114.095,186.108
113.9,186.184
113.573,186.247
113.44,186.173
114.424,186.084
114.491,185.965
114.598,185.944
114.779,185.851
114.885,185.59
114.711,185.955
115.69,185.064
115.301,184.819
115.138,185.247
115.35,185.118
115.283,185.137
115.443,184.873
115.539,185.127
115.505,184.991
115.343,185.472
115.216,185.012
116.192,184.004
116.257,183.78
116.568,183.312
116.513,183.202
116.557,183.497
116.947,182.828
116.311,183.941
116.183,183.782
116.274,183.685
116.481,181.712
117.152,181.841
116.999,181.836
116.967,182.307
117.343,181.565
116.539,182.84
117.125,182.088
116.674,182.818
116.808,182.565
116.776,182.376
116.792,182.53
116.822,183.455
116.693,182.479
116.625,182.464
117.005,182.869
116.763,182.593
116.683,182.621
116.811,182.679
116.713,182.872
116.914,182.843
116.967,182.908
116.897,183.035
116.828,183.493
116.292,183.713
116.403,182.867
116.419,182.068
116.1,181.396
115.205,180.792
114.23,180.776
112.289,182.439
112.523,182.674
113.021,181.498
113.045,181.306
113.054,181.179
113.1,181.24
114.308,181.375
115.151,181.612
115.496,181.835
116.558,182.596
117.101,184.15
116.396,185.145
116.353,184.309
116.567,184.917
