x,y
306.197,418.748
302.843,414.039
300.772,411.128
300.127,409.452
287.794,389.065
287.904,389.061
284.138,388.876
271.0,375.533
264.811,368.19
261.35,363.368
250.685,359.643
234.631,357.834
225.796,364.777
224.842,375.63
225.634,378.063
230.939,383.716
239.709,379.118
229.914,376.526
221.057,376.055
214.954,375.544
213.025,374.118
213.306,375.155
212.015,375.472
211.168,374.379
218.637,366.629
232.679,371.514
235.126,371.617
239.066,372.024
243.254,373.602
248.862,379.526
258.008,381.889
257.134,372.234
264.202,370.051
261.555,364.745
248.127,360.598
245.557,359.583
247.133,360.812
243.161,364.005
