x,y
29.606,132.188
42.383,127.037
47.89,128.992
49.563,130.928
46.709,133.668
43.687,133.132
42.936,131.794
42.017,128.812
41.923,127.003
41.924,125.902
41.935,125.511
42.169,124.655
43.208,122.764
45.733,121.889
47.032,123.155
47.363,124.206
48.595,127.258
50.885,129.826
49.417,128.651
48.07,125.211
47.758,124.372
47.652,124.246
47.472,124.312
49.471,129.283
51.431,131.35
50.425,130.311
48.858,131.122
43.09,138.192
41.685,132.422
42.725,131.938
42.625,131.822
42.943,131.657
46.811,135.418
45.507,139.664
41.422,142.919
40.246,142.789
37.498,140.451
34.635,139.479
34.512,139.428
34.408,139.495
34.014,140.111
32.668,141.61
29.516,143.024
27.409,143.623
26.04,144.033
23.486,148.425
23.518,153.269
23.623,156.844
23.68,145.949
27.34,140.159
30.723,128.798
33.084,121.631
35.727,110.924
38.519,106.321
38.786,103.652
39.354,103.97
41.388,104.588
43.087,105.324
43.22,105.187
43.258,105.055
43.663,104.953
43.986,104.921
43.495,104.932
42.818,104.922
41.904,104.886
39.539,104.244
37.384,101.231
35.849,96.048
33.987,93.586
32.185,90.303
30.435,86.25
30.586,86.02
30.695,85.68
31.185,85.47
34.749,86.563
35.235,90.462
32.198,93.099
30.768,96.111
31.186,98.428
34.664,99.52
34.906,97.472
34.439,96.71
33.833,96.12
32.969,95.861
31.829,96.529
30.555,99.273
30.809,100.593
31.71,101.701
33.524,103.289
34.651,104.062
35.961,104.767
36.863,105.354
37.633,105.798
37.786,105.911
38.039,106.156
38.062,106.171
38.241,106.464
38.596,106.658
38.695,106.862
38.862,106.952
38.874,106.978
38.852,107.025
38.807,107.146
38.415,107.075
37.81,106.912
37.648,106.801
37.172,106.748
36.335,107.23
35.554,107.908
34.482,109.323
34.686,108.802
34.771,109.536
34.487,109.405
34.112,109.648
34.223,109.899
34.208,109.861
33.715,110.494
33.733,111.037
33.265,112.134
33.231,112.259
33.213,112.063
33.47,111.993
33.138,112.448
33.278,112.937
33.289,113.126
33.49,112.96
33.521,113.144
33.161,113.268
33.91,113.417
33.731,113.701
33.887,113.59
34.049,113.768
35.186,114.19
40.737,114.322
41.035,115.104
41.323,115.071
41.415,115.184
41.48,114.148
39.256,104.684
43.181,93.763
44.693,89.995
45.006,89.938
46.981,89.804
48.054,90.083
48.128,90.104
48.202,90.186
48.32,90.241
46.506,91.001
45.204,91.375
44.04,91.738
43.276,91.896
42.818,92.021
42.633,92.038
42.414,92.111
42.283,92.125
42.336,92.088
42.36,92.105
42.153,92.131
41.903,92.185
41.67,92.243
41.37,92.259
41.033,92.257
40.741,91.301
42.056,87.441
43.761,86.104
45.793,85.905
46.333,86.164
46.395,86.361
45.374,86.72
44.439,86.892
43.502,86.99
42.168,87.073
40.378,87.013
38.797,86.484
37.573,85.809
36.836,85.443
36.517,84.89
36.143,84.725
35.712,84.257
35.159,83.053
35.215,81.624
35.509,80.826
35.651,79.799
35.95,79.656
35.828,79.521
36.067,79.252
36.386,78.57
36.916,78.041
38.905,77.723
44.28,80.405
44.329,82.373
43.472,82.885
42.619,83.243
40.849,83.972
38.838,84.91
37.726,85.391
37.16,85.105
35.687,84.198
34.84,82.887
34.883,80.328
35.57,78.396
36.234,77.123
37.242,76.32
39.167,74.678
40.87,74.225
40.089,78.488
38.199,80.127
36.126,81.462
35.066,81.913
34.361,82.016
35.334,78.873
37.293,75.846
39.193,74.072
39.595,73.444
39.814,73.251
39.812,73.071
39.717,73.13
39.317,73.086
38.417,73.029
37.741,73.458
37.268,73.917
37.262,74.071
37.281,74.839
38.07,76.752
38.321,76.6
37.185,75.924
34.811,76.283
35.879,76.069
36.16,76.483
36.416,70.64
36.092,72.318
37.34,73.476
