x,y
120.604,11.631
116.235,20.408
114.678,31.014
113.77,38.167
114.072,41.445
110.09,47.338
107.731,51.284
109.935,56.673
117.605,51.046
118.269,49.976
118.898,48.326
115.743,45.219
111.112,51.658
103.919,55.608
95.319,61.751
87.535,68.663
83.599,71.948
90.373,73.262
92.977,70.579
95.355,64.461
97.027,58.955
97.381,57.45
97.492,56.7
98.177,47.043
99.725,39.985
100.38,28.697
100.625,23.718
101.638,22.382
103.382,23.274
98.112,33.259
86.591,40.34
82.495,52.436
80.641,59.118
72.477,67.673
69.589,68.828
65.813,62.943
63.913,55.412
69.552,50.52
78.744,45.19
86.609,45.257
96.842,44.026
103.56,36.057
104.907,31.047
105.859,28.247
105.965,28.94
99.995,30.863
107.031,35.084
109.769,33.443
111.026,29.697
106.429,27.409
103.187,26.335
99.635,25.24
96.673,25.423
96.324,27.071
92.155,28.761
89.99,30.725
89.141,30.993
88.459,32.474
87.938,33.539
87.311,33.053
87.435,32.79
87.071,32.234
87.67,32.311
87.808,32.292
87.246,32.61
84.159,43.791
81.517,57.301
79.016,68.172
77.7,78.224
72.666,82.619
66.923,85.757
63.871,89.321
60.593,98.015
60.824,104.194
56.468,106.419
57.064,97.775
60.55,92.146
63.112,86.258
66.616,83.037
74.844,82.295
81.765,77.863
81.605,75.803
80.416,75.355
79.799,82.813
85.142,92.28
84.874,93.796
90.929,93.344
93.07,92.563
94.302,89.342
92.88,82.754
92.469,78.051
89.815,75.7
80.911,79.339
73.143,82.54
66.934,86.579
66.906,96.803
67.823,96.737
72.889,91.22
71.329,88.649
69.838,81.262
72.106,75.177
72.89,68.306
69.653,69.488
71.21,76.402
77.147,83.491
79.667,93.204
78.766,92.922
78.597,93.047
78.577,93.091
78.517,93.094
79.157,93.366
78.487,93.077
79.5,93.432
80.173,93.649
81.935,93.503
82.881,93.576
82.52,94.597
77.917,90.698
78.788,88.406
85.433,88.645
85.44,90.13
85.584,90.359
85.53,90.567
85.502,90.538
85.516,91.091
85.505,91.314
85.407,91.515
85.42,91.526
85.546,90.851
85.493,90.739
85.434,90.94
85.515,90.789
85.435,90.793
85.417,90.901
85.329,90.821
85.412,90.595
85.376,91.158
85.398,91.204
85.395,91.173
85.465,90.991
85.429,91.251
85.357,92.385
82.58,99.387
80.292,103.983
78.77,107.668
68.915,111.741
63.712,117.592
57.157,123.806
54.85,125.827
52.414,127.824
47.01,129.608
33.962,136.06
27.416,138.018
